sample,Shannon,Simpson,Richness,Chao1,Ace,Sobs,Pielou,Goods_coverage
1F1,6.399044237,0.997557183,1515,1659.032258,1611.212164,1515,0.605677464,0.999993848
1F10,6.423466113,0.997648682,1435,1447.047619,1445.302437,1435,0.612526668,0.999997934
1F11,6.315400452,0.997277133,1608,1608.948276,1611.503611,1608,0.592936795,0.999999645
1F12,6.364576575,0.997493452,1569,1585.607143,1581.010933,1569,0.599547723,0.999998216
1F13,6.426829194,0.997637334,1521,1751.576923,1651.197358,1521,0.607979197,0.999996111
1F14,6.414417803,0.997602503,1552,1835.55,1649.286989,1552,0.605138731,0.99999626
1F15,6.445068013,0.997670912,1459,1541,1486.745152,1459,0.613187387,0.99999516
1F16,6.400405679,0.997610084,1449,1466.4,1469.70391,1449,0.609513575,0.99999776
1F17,6.421831987,0.997625258,1457,1562.857143,1477.331231,1457,0.611091757,0.999995233
1F18,6.410805364,0.997595391,1462,1477.47619,1474.477858,1462,0.609755703,0.999998062
1F19,6.426737034,0.997646554,1488,1608.652174,1562.793965,1488,0.609796014,0.999997176
1F2,6.412736149,0.997623703,1430,1441.5,1438.245764,1430,0.611797258,0.999997011
1F20,6.394343229,0.997571183,1461,1477.866667,1469.978464,1461,0.608247036,0.999997523
1F21,6.400187745,0.997586427,1455,1467.214286,1462.667068,1455,0.609146995,0.999998622
1F3,6.382531663,0.997545205,1528,1783.315789,1624.540912,1528,0.603410504,0.999998597
1F4,6.420907472,0.997635549,1530,1676.2,1600.28701,1530,0.606930307,0.999988578
1F5,6.425661292,0.997641778,1510,1677.647059,1574.400641,1510,0.608471475,0.999996995
1F6,6.394802933,0.99756824,1560,1835.896552,1721.83425,1560,0.60286639,0.999995187
1F7,6.406243314,0.997604262,1447,1482,1469.812455,1447,0.610185287,0.999998338
1F8,6.417286677,0.997609439,1446,1463.142857,1450.570038,1446,0.611295223,0.99999845
1F9,6.388339229,0.9975782,1463,1505.272727,1474.376726,1463,0.60756186,0.999996989
1M1,6.483542023,0.997719344,1718,1789.75,1756.190533,1718,0.603315813,0.999997399
1M10,6.427300361,0.997630816,1551,1554.885714,1562.086226,1551,0.606407273,0.999998957
1M11,6.435238975,0.99768131,1567,1576.625,1580.512807,1567,0.606309273,0.999998576
1M12,6.422606959,0.997645212,1551,1569,1553.487078,1551,0.605964457,0.999999798
1M13,6.439239165,0.997646022,1564,1567.25,1571.280071,1564,0.606844229,0.999998863
1M14,6.424724659,0.997638307,1567,1578.142857,1572.716644,1567,0.605318645,0.999999207
1M15,6.445180536,0.997640861,1595,1745.5,1632.201041,1595,0.605787587,0.999996941
1M16,6.459028768,0.997666617,1551,1558.090909,1556.886264,1551,0.609400806,0.99999966
1M17,6.484917158,0.997738343,1548,1564.111111,1569.982614,1548,0.612004627,0.999998567
1M18,6.42407776,0.997625126,1452,1459.090909,1456.597387,1452,0.611594092,0.999999296
1M19,6.416173555,0.997615496,1577,2185.214286,1801.140338,1577,0.60399073,0.999999175
1M2,6.435249706,0.997650108,1573,1594.75,1589.117651,1573,0.605995491,0.999996762
1M20,6.417363787,0.997639649,1551,2096,1713.602763,1551,0.60546977,0.999999096
1M21,6.477873273,0.997736659,1472,1484.214286,1480.543752,1472,0.615559,0.999999056
1M22,6.486185463,0.997761651,1601,1887.2,1656.404551,1601,0.609331439,0.999999314
1M23,6.429343278,0.997607329,1467,1490.076923,1480.03718,1467,0.611232558,0.999998638
1M24,6.409814673,0.997573665,1536,1538.142857,1537.635702,1536,0.605558562,0.999999902
1M25,6.408259401,0.997564942,1568,1587.555556,1589.585411,1568,0.603714986,0.999997603
1M26,6.436952004,0.99763066,1453,1547.5,1467.51624,1453,0.61276182,0.999997772
1M27,6.422430568,0.997628225,1543,2048.909091,1692.796332,1543,0.606374642,0.999999697
1M28,6.404007485,0.997611144,1456,1456.677419,1458.916613,1456,0.609453049,0.999999457
1M29,6.420600894,0.9976113,1465,1471.5,1470.665655,1465,0.610515664,0.999999634
1M3,6.428186683,0.997679349,1593,1597.875,1597.035952,1593,0.604293135,0.999998988
1M30,6.416037913,0.997625791,1621,1972.111111,1673.077144,1621,0.601729106,0.999998417
1M31,6.406599127,0.99757745,1474,1520.428571,1493.922184,1474,0.608672886,0.999998034
1M32,6.441304252,0.9976501,1569,1607.25,1575.437873,1569,0.606775526,0.99999878
1M33,6.435722473,0.997665897,1527,1891.25,1611.501614,1527,0.608493547,0.999997578
1M34,6.425719021,0.997638384,1518,1709.4,1590.181557,1518,0.608038014,0.999996568
1M35,6.428686923,0.997642532,1533,1719.47619,1607.538447,1533,0.607503371,0.999999161
1M36,6.438834267,0.997644855,1537,1715.142857,1622.46455,1537,0.608246194,0.999998702
1M4,6.402342099,0.997550281,1628,1645.032258,1643.468865,1628,0.600094772,0.999997319
1M5,6.448064426,0.997647465,1564,1568.935484,1572.747578,1564,0.607675936,0.999999694
1M6,6.432594512,0.997656439,1560,1745,1694.316378,1560,0.606429169,0.999996359
1M7,6.439247422,0.997647153,1585,1809,1655.181032,1585,0.60574653,0.999997032
1M8,6.410416932,0.997614511,1552,1741.2,1570.803519,1552,0.604761287,0.999998892
1M9,6.415098488,0.997581976,1530,1545.545455,1534.953229,1530,0.606381218,0.999998332
2F13,6.477362962,0.997723675,1589,1802.786885,1857.547141,1589,0.609123735,0.999997844
2F14,6.444804195,0.997700817,1530,1559.696203,1578.199387,1530,0.609189123,0.999998725
2F15,6.438268877,0.997652171,1509,1547.733333,1590.008007,1509,0.609720519,0.999997771
2F16,6.433431927,0.997640087,1537,1823.538462,1764.264321,1537,0.607735861,0.999995183
2F17,6.419812717,0.997632963,1577,1771.6,1753.567412,1577,0.604333304,0.999995012
2F18,6.440231027,0.997653356,1555,1566.378947,1585.996973,1555,0.607414311,0.999999587
2F19,6.396840804,0.997552314,1535,1787.02381,1778.657722,1535,0.604386521,0.999991665
2F20,6.415848827,0.997580223,1596,1765.5,1699.274693,1596,0.60297943,0.999991334
2F21,6.450367317,0.997697284,1583,1752.318182,1826.989987,1583,0.606896586,0.999989542
2F22,6.475636642,0.997783164,1472,1859,1794.329878,1472,0.615346464,0.999976862
2F23,6.412668497,0.997660469,1515,1540.514563,1571.425,1515,0.606967017,0.999998697
2F24,6.187966565,0.996984062,1573,1657.182927,1676.127741,1573,0.582709297,0.999994422
2F25,6.356112171,0.997441193,1606,1681.46875,1646.845681,1606,0.59685973,0.999995806
2F26,6.448271992,0.997649196,1492,1504.011111,1521.272554,1492,0.611614581,0.999998021
2F27,6.422485778,0.997609931,1541,1752.520833,1717.557597,1541,0.606487002,0.999997428
2F28,6.494450908,0.997811244,1484,1640.483871,1603.454433,1484,0.61644814,0.999999131
2F29,6.449890275,0.997666906,1501,1729.391304,1654.764049,1501,0.611265031,0.999997994
